epoch,train_loss,test_acc,ece
1,0.6536,0.2338,0.2120
2,0.5024,0.2488,0.2679
3,0.4486,0.3136,0.1937
4,0.4198,0.3450,0.1382
5,0.3831,0.2966,0.2385
6,0.3554,0.3702,0.1226
7,0.3278,0.3588,0.1569
8,0.3139,0.3713,0.1697
9,0.2816,0.4564,0.0682
10,0.2736,0.4522,0.0688
11,0.2488,0.4607,0.0876
12,0.2433,0.4623,0.1024
13,0.2235,0.4817,0.0921
14,0.2147,0.4741,0.1143
15,0.1984,0.5125,0.0651
16,0.1838,0.4879,0.0948
17,0.1787,0.5691,0.0216
18,0.1664,0.5310,0.0525
19,0.1546,0.5457,0.0452
20,0.1471,0.5667,0.0368
21,0.1393,0.5325,0.0842
22,0.1286,0.5545,0.0664
23,0.1236,0.5945,0.0265
24,0.1165,0.5741,0.0568
25,0.1066,0.5889,0.0473
26,0.1070,0.5879,0.0503
27,0.1069,0.5830,0.0586
28,0.1040,0.5911,0.0507
29,0.0997,0.5949,0.0435
30,0.0986,0.5910,0.0503
